year,metric,value_krw,original_value,original_unit,basis,audit_note,table_header,evidence_context,company,sector,source_url,report_id,collected_at,section
2024,영업이익,190839000000,"190,839",백만원,연결,,"구 분 제73기 제72기 제71기 [유동자산] 1,435,681 1,194,370 1,027,983 ㆍ현금및현금성자산 323,054 297,054 253,330 ㆍ단기금융상품 132,809 138,107 339,946","
 1. 요약재무정보 
 - 요약재무정보(연결) 
 
 
 
 
 
 
 (단위:백만원) 
 
 
 
",DB하이텍,반도체,https://kind.krx.co.kr/external/2026/03/16/001993/20260316005760/11011.htm,20260316005760,2026-09-13T06:23:26.255548+00:00,III. 재무에 관한 사항 / 요약재무정보
2023,영업이익,265437000000,"265,437",백만원,연결,,"구 분 제73기 제72기 제71기 [유동자산] 1,435,681 1,194,370 1,027,983 ㆍ현금및현금성자산 323,054 297,054 253,330 ㆍ단기금융상품 132,809 138,107 339,946","
 1. 요약재무정보 
 - 요약재무정보(연결) 
 
 
 
 
 
 
 (단위:백만원) 
 
 
 
",DB하이텍,반도체,https://kind.krx.co.kr/external/2026/03/16/001993/20260316005760/11011.htm,20260316005760,2026-09-13T06:23:26.255548+00:00,III. 재무에 관한 사항 / 요약재무정보
2025,매출액,302230571186,"302,230,571,186",원,연결,,"과          목 제26기 제25기 제24기 연결 (2025년말) (2024년말) (2023년말) [유동자산] 280,400,652,016 175,914,531,374 152,547,922,968 ·당좌자산 185,724,691,123 75,794,755,317 79,770,930,905","
 
 1. 요약재무정보 
 
 연결회사 제26기, 제25기, 제24기 재무제표(연결, 별도 포함)는 한국채택 국제회계기준에 따라 작성되었으며, 외부감사인의 감사를 받았습니다.  (1) 연결 재무정보                                                                                              (단위 : 원)
 
",제주반도체,반도체,https://kind.krx.co.kr/external/2026/03/23/001354/20260323006006/11011.htm,20260323006006,2026-09-13T06:23:23.327731+00:00,III. 재무에 관한 사항 / 요약재무정보
2024,매출액,162349945455,"162,349,945,455",원,연결,,"과          목 제26기 제25기 제24기 연결 (2025년말) (2024년말) (2023년말) [유동자산] 280,400,652,016 175,914,531,374 152,547,922,968 ·당좌자산 185,724,691,123 75,794,755,317 79,770,930,905","
 
 1. 요약재무정보 
 
 연결회사 제26기, 제25기, 제24기 재무제표(연결, 별도 포함)는 한국채택 국제회계기준에 따라 작성되었으며, 외부감사인의 감사를 받았습니다.  (1) 연결 재무정보                                                                                              (단위 : 원)
 
",제주반도체,반도체,https://kind.krx.co.kr/external/2026/03/23/001354/20260323006006/11011.htm,20260323006006,2026-09-13T06:23:23.327731+00:00,III. 재무에 관한 사항 / 요약재무정보
2023,매출액,145899793599,"145,899,793,599",원,연결,,"과          목 제26기 제25기 제24기 연결 (2025년말) (2024년말) (2023년말) [유동자산] 280,400,652,016 175,914,531,374 152,547,922,968 ·당좌자산 185,724,691,123 75,794,755,317 79,770,930,905","
 
 1. 요약재무정보 
 
 연결회사 제26기, 제25기, 제24기 재무제표(연결, 별도 포함)는 한국채택 국제회계기준에 따라 작성되었으며, 외부감사인의 감사를 받았습니다.  (1) 연결 재무정보                                                                                              (단위 : 원)
 
",제주반도체,반도체,https://kind.krx.co.kr/external/2026/03/23/001354/20260323006006/11011.htm,20260323006006,2026-09-13T06:23:23.327731+00:00,III. 재무에 관한 사항 / 요약재무정보
2025,영업이익,35873972312,"35,873,972,312",원,연결,,"과          목 제26기 제25기 제24기 연결 (2025년말) (2024년말) (2023년말) [유동자산] 280,400,652,016 175,914,531,374 152,547,922,968 ·당좌자산 185,724,691,123 75,794,755,317 79,770,930,905","
 
 1. 요약재무정보 
 
 연결회사 제26기, 제25기, 제24기 재무제표(연결, 별도 포함)는 한국채택 국제회계기준에 따라 작성되었으며, 외부감사인의 감사를 받았습니다.  (1) 연결 재무정보                                                                                              (단위 : 원)
 
",제주반도체,반도체,https://kind.krx.co.kr/external/2026/03/23/001354/20260323006006/11011.htm,20260323006006,2026-09-13T06:23:23.327731+00:00,III. 재무에 관한 사항 / 요약재무정보
2024,영업이익,9581360274,"9,581,360,274",원,연결,,"과          목 제26기 제25기 제24기 연결 (2025년말) (2024년말) (2023년말) [유동자산] 280,400,652,016 175,914,531,374 152,547,922,968 ·당좌자산 185,724,691,123 75,794,755,317 79,770,930,905","
 
 1. 요약재무정보 
 
 연결회사 제26기, 제25기, 제24기 재무제표(연결, 별도 포함)는 한국채택 국제회계기준에 따라 작성되었으며, 외부감사인의 감사를 받았습니다.  (1) 연결 재무정보                                                                                              (단위 : 원)
 
",제주반도체,반도체,https://kind.krx.co.kr/external/2026/03/23/001354/20260323006006/11011.htm,20260323006006,2026-09-13T06:23:23.327731+00:00,III. 재무에 관한 사항 / 요약재무정보
2023,영업이익,17838425308,"17,838,425,308",원,연결,,"과          목 제26기 제25기 제24기 연결 (2025년말) (2024년말) (2023년말) [유동자산] 280,400,652,016 175,914,531,374 152,547,922,968 ·당좌자산 185,724,691,123 75,794,755,317 79,770,930,905","
 
 1. 요약재무정보 
 
 연결회사 제26기, 제25기, 제24기 재무제표(연결, 별도 포함)는 한국채택 국제회계기준에 따라 작성되었으며, 외부감사인의 감사를 받았습니다.  (1) 연결 재무정보                                                                                              (단위 : 원)
 
",제주반도체,반도체,https://kind.krx.co.kr/external/2026/03/23/001354/20260323006006/11011.htm,20260323006006,2026-09-13T06:23:23.327731+00:00,III. 재무에 관한 사항 / 요약재무정보
2025,매출액,192802000000,"192,802",백만원,연결,,"구 분 제27기 제26기 제25기 [유동자산] 136,229 139,782 162,367 ㆍ현금및현금성자산 23,196 30,003 16,154 ㆍ기타유동금융자산 27,847 42,330 80,906","
 1. 요약재무정보 
 가. 요약 연결재무정보 제27기, 제26기, 제25기 재무정보는 한국채택국제회계기준(K-IFRS) 연결재무제표 기준으로 작성되었습니다. 
 
 
 
 
 
 
 
 (단위 : 백만원) 
 
 
 
",텔레칩스,반도체,https://kind.krx.co.kr/external/2026/03/23/001319/20260323005824/11011.htm,20260323005824,2026-09-13T06:23:21.461631+00:00,III. 재무에 관한 사항 / 요약재무정보
2024,매출액,186616000000,"186,616",백만원,연결,,"구 분 제27기 제26기 제25기 [유동자산] 136,229 139,782 162,367 ㆍ현금및현금성자산 23,196 30,003 16,154 ㆍ기타유동금융자산 27,847 42,330 80,906","
 1. 요약재무정보 
 가. 요약 연결재무정보 제27기, 제26기, 제25기 재무정보는 한국채택국제회계기준(K-IFRS) 연결재무제표 기준으로 작성되었습니다. 
 
 
 
 
 
 
 
 (단위 : 백만원) 
 
 
 
",텔레칩스,반도체,https://kind.krx.co.kr/external/2026/03/23/001319/20260323005824/11011.htm,20260323005824,2026-09-13T06:23:21.461631+00:00,III. 재무에 관한 사항 / 요약재무정보
